Code,Name,NameWoDiacritics,Function,Longitude,Latitude
GAEKU,Equata,Equata,1-------,9.3,-0.21666666666666667
GAMBA,Mayumba,Mayumba,-----6--,10.283333333333333,2.9833333333333334
GAOGU,Oguandjo Terminal,Oguandjo Terminal,1-------,8.9,-1.5
GBBYS,Abbeystead,Abbeystead,-----6--,-2.6666666666666665,53.96666666666667
GBAOT,Abbotsbury,Abbotsbury,1-------,-2.6,50.666666666666664
GBAOL,Abbotsley,Abbotsley,1-------,-0.2,52.18333333333333
GBABS,Aber Sôch (Abersoch),Aber Soch (Abersoch),1-3-----,-4.5,52.81666666666667
GBABA,Aberaeron,Aberaeron,1-3-----,-4.25,52.25
GBAEG,Aberbeeg,Aberbeeg,-23--6--,-3.1666666666666665,51.71666666666667
GBARC,Abercastle,Abercastle,1-3-----,-5.116666666666666,51.95
GBACF,Abercraf,Abercraf,--3--6--,-3.7,51.8
GBADR,Aberdaron,Aberdaron,1-3-----,-4.716666666666667,52.8
GBABD,Aberdeen,Aberdeen,1--4----,-2.1,57.13333333333333
GBAYD,Aberdour,Aberdour,123-----,-3.283333333333333,56.05
GBABV,Aberdovey,Aberdovey,1-------,-4.05,52.53333333333333
GBABF,Aberdyfi (Aberdovey),Aberdyfi (Aberdovey),123-----,-4.033333333333333,52.55
GBAFW,Aberffraw,Aberffraw,1-------,-4.45,53.18333333333333
GBAEE,Abergele,Abergele,123-----,-3.5833333333333335,53.28333333333333
GBAYW,Aberystwyth,Aberystwyth,123-----,-4.083333333333333,52.416666666666664
GBARZ,Abram,Abram,-----6--,-2.5833333333333335,53.516666666666666
GBACA,Acharacle,Acharacle,1-3-----,-5.783333333333333,54.733333333333334
GBACE,Achiltibuie,Achiltibuie,1-------,-5.366666666666666,58.03333333333333
GBAHN,Achnacroish,Achnacroish,1-3-----,-5.483333333333333,56.5
GBATL,Acton Turville,Acton Turville,--3--6--,-2.2666666666666666,51.516666666666666
GBJDV,Adversane,Adversane,-----6--,-0.4666666666666667,50.983333333333334
GBAKS,Adwick le Street,Adwick le Street,--3--6--,-1.1833333333333333,53.56666666666667
GBZHG,Ahoghill,Ahoghill,-----6--,-6.6,55.4
GBAMR,Aird Ma Ruibhe,Aird Ma Ruibhe,1-3-----,-7.183333333333334,57.7
GBADM,Aird Mhor (Ardmhor),Aird Mhor (Ardmhor),1-3-----,-7.416666666666667,57.016666666666666
GBAIT,Aith,Aith,1-3-----,-1.3833333333333333,60.28333333333333
GBALH,Aldenham,Aldenham,--3--6--,-0.35,51.666666666666664
GBGSR,Aldersgate,Aldersgate,1-3-----,-0.08333333333333333,51.516666666666666
GBADT,Aldington,Aldington,--3--6--,0.9333333333333333,51.083333333333336
GBALL,Alloa,Alloa,123-----,-3.783333333333333,56.11666666666667
GBAPN,Alperton,Alperton,--3--6--,-0.2833333333333333,51.53333333333333
GBALP,Althorpe,Althorpe,1-3-----,-0.7333333333333333,53.583333333333336
GBAMW,Amlwch,Amlwch,123-----,-4.35,53.416666666666664
GBANA,Anasuria,Anasuria,1-----7-,0.8,57.25
GBANG,Annalong,Annalong,1-3-----,-5.9,54.1
GBANN,Annan,Annan,123-----,-3.2666666666666666,54.983333333333334
GBANS,Anstruther,Anstruther,1-3-----,-2.7,56.21666666666667
GBATY,Ansty,Ansty,--3--6--,-0.16666666666666666,51.0
GBAPI,Appin,Appin,1-3-----,-5.35,56.56666666666667
GBAPS,Applecross,Applecross,1-------,-5.8,57.38333333333333
GBAPP,Appledore,Appledore,1-------,-4.2,51.05
GBARB,Arbroath,Arbroath,1-------,-2.5833333333333335,56.56666666666667
GBDBG,Ardbeg,Ardbeg,1-------,-6.1,55.63333333333333
GBAET,Ardentinny,Ardentinny,1-------,-4.9,56.03333333333333
GBADF,Ardfern,Ardfern,1-3-----,-5.533333333333333,56.18333333333333
GBAGL,Ardglass,Ardglass,1-3-----,-5.616666666666667,54.266666666666666
GBAGU,Ardgour,Ardgour,1-3-----,-5.25,56.71666666666667
GBADK,Ardkeen,Ardkeen,1-3-----,-5.516666666666667,54.416666666666664
GBAMH,Ardmaleish,Ardmaleish,1-3-----,-5.083333333333333,55.86666666666667
GBGIG,"Ardminish, Gigha Island","Ardminish, Gigha Island",1-3-----,-5.733333333333333,55.666666666666664
GBAMN,Ardnamurchan,Ardnamurchan,1-------,-6.083333333333333,56.68333333333333
GBASG,Ardrishaig,Ardrishaig,1-------,-5.45,56.016666666666666
GBARD,Ardrossan,Ardrossan,1-------,-4.816666666666666,55.61666666666667
GBARV,Ardveenish,Ardveenish,1-3-----,-7.4,57.0
GBDYN,Ardyne,Ardyne,1-------,-5.033333333333333,55.86666666666667
GBGYL,Argyll,Argyll,1-------,2.8,56.15
GBAGO,Arinagour,Arinagour,1-3-----,-6.533333333333333,56.61666666666667
GBARG,Arisaig,Arisaig,123-----,-5.85,56.9
GBALI,Arlington,Arlington,1-------,-1.8333333333333335,51.75
GBAMD,"Armadale, Isle of Skye","Armadale, Isle of Skye",1-3-----,-5.9,57.05
GBNAR,Arran,Arran,1-------,-5.283333333333333,55.583333333333336
GBABK,Ashbocking,Ashbocking,--3--6--,1.1666666666666667,52.15
GBHA2,Ashley,Ashley,1-3-----,-1.45,51.06666666666667
GBATC,Attercliffe,Attercliffe,-----6--,-1.4333333333333333,53.4
GBAHH,Auchterhouse,Auchterhouse,1----6--,-3.1333333333333333,56.86666666666667
GBAKL,Auckengill,Auckengill,1-------,-3.066666666666667,58.56666666666667
GBWAD,Audlem,Audlem,-----6--,-2.85,53.63333333333333
GBZAA,Augher,Augher,-----6--,-7.15,54.43333333333333
GBAUL,Aultbea,Aultbea,1-3-----,-5.566666666666666,57.833333333333336
GBAVC,Avoch,Avoch,1-3-----,-4.166666666666667,57.55
GBAVO,Avonmouth,Avonmouth,1-------,-2.6833333333333336,51.5
GBAXO,Axmouth,Axmouth,1-3-----,-3.05,50.7
GBAYT,Aylestone,Aylestone,-----6--,-1.15,52.6
GBAYR,Ayr,Ayr,1-------,-4.616666666666667,55.45
GBACB,Back,Back,1-------,-6.316666666666666,58.266666666666666
GBBKC,"Backaland, Eday","Backaland, Eday",1-3-----,-2.75,59.15
GBSGC,Badminton,Badminton,1----6--,-2.283333333333333,51.53333333333333
GBAGE,Bagstone,Bagstone,-23--6--,-2.45,51.583333333333336
GBBWZ,Bagworth,Bagworth,--3--6--,-1.3333333333333333,52.65
GBION,"Baile Mor, Iona","Baile Mor, Iona",1-3-----,-6.4,56.333333333333336
GBBBN,Balbriggan,Balbriggan,1-3-----,-6.166666666666667,53.6
GBBLI,Balintore,Balintore,1-3-----,-3.9,57.75
GBBNR,Ballantrae,Ballantrae,1-3-----,-4.983333333333333,55.083333333333336
GBBIN,Ballingry,Ballingry,--3--6--,-3.3166666666666664,56.15
GBBYP,Ballintoy,Ballintoy,1-------,-6.35,55.233333333333334
GBDOR,Ballydorn,Ballydorn,1-------,-5.633333333333333,54.483333333333334
GBBHB,Ballyhalbert,Ballyhalbert,1-------,-5.45,54.5
GBBLR,Ballylumford,Ballylumford,1-3-----,-5.783333333333333,54.833333333333336
GBLMN,Ballymartin,Ballymartin,1-------,-5.95,54.06666666666667
GBLYW,Ballywalter,Ballywalter,1-------,-5.483333333333333,54.53333333333333
GBBMC,Balmacara,Balmacara,1-3-----,-5.616666666666667,57.28333333333333
GBBSN,Baltasound,Baltasound,1-------,-0.8666666666666667,60.75
GBBVR,Balvicar,Balvicar,1-------,-5.6,56.28333333333333
GBBPD,Bampton,Bampton,-----6--,-3.4833333333333334,50.983333333333334
GBBFF,Banff,Banff,1-3-----,-2.533333333333333,57.666666666666664
GBRLG,Bar Light,Bar Light,1-------,-3.3166666666666664,53.53333333333333
GBBCE,Barcaldine,Barcaldine,1-------,-5.3,56.516666666666666
GBBDZ,Bardsea,Bardsea,1-------,-3.066666666666667,54.15
GBLBK,Barking,Barking,--3--6--,1.0166666666666666,52.13333333333333
GBBLZ,Barlborough,Barlborough,1----6--,-1.2833333333333332,53.28333333333333
GBBMU,Barmouth,Barmouth,1-------,-4.05,52.71666666666667
GBABW,Barmouth (Abermaw),Barmouth (Abermaw),123-----,-4.05,52.71666666666667
GBANC,Barnacle,Barnacle,--3--6--,-1.4333333333333333,52.46666666666667
GBBDB,Barnoldby le Beck,Barnoldby le Beck,1-3-----,-0.13333333333333333,53.5
GBBSY,Barnsley,Barnsley,1-3-----,-1.4833333333333334,53.55
GBBND,Barnstaple,Barnstaple,123-----,-4.066666666666666,51.083333333333336
GBBBX,Barnstone,Barnstone,1----6--,-0.9,52.9
GBBIF,Barrow in Furness,Barrow in Furness,1--4----,-3.2333333333333334,54.11666666666667
GBBUO,Barrow On Soar,Barrow On Soar,123--6--,-1.1333333333333333,52.75
GBBWU,Barrow upon Trent,Barrow upon Trent,1-3-----,-1.4666666666666668,52.85
GBBHR,Barrow-upon-Humber,Barrow-upon-Humber,1-3-----,-0.38333333333333336,53.68333333333333
GBBAD,Barry Dock,Barry Dock,1-------,-3.25,51.38333333333333
GBBNJ,Barston,Barston,-----6--,-1.6833333333333333,52.38333333333333
GBBAZ,Barton on Sea,Barton on Sea,1-------,-1.65,50.733333333333334
GBBNH,Barton upon Humber,Barton upon Humber,1-3-----,-0.43333333333333335,53.666666666666664
GBBXF,Bassingham,Bassingham,1----6--,-0.6333333333333333,53.11666666666667
GBCBX,Baxenden,Baxenden,1----6--,-2.35,53.733333333333334
GBBQX,Beadnell,Beadnell,1-------,-1.6333333333333333,55.55
GBBLU,Beaulieu,Beaulieu,123-----,-1.4333333333333333,50.81666666666667
GBBBL,Beauly,Beauly,-----6--,-43.333333333333336,57.46666666666667
GBBD2,Bedhampton,Bedhampton,1-3-----,-1.0,50.85
GBBTK,Bedstone,Bedstone,1----6--,-2.9333333333333336,52.36666666666667
GBENH,Beenham,Beenham,1----6--,-1.15,51.416666666666664
GBBXX,Beer,Beer,1-------,-3.0833333333333335,50.68333333333333
GBBSX,Beesands,Beesands,1-------,-3.5666666666666664,50.333333333333336
GBBEL,Belfast,Belfast,1--4-6--,-5.916666666666667,54.983333333333334
GBVVE,Belgrave,Belgrave,1-------,-2.166666666666667,52.65
GBBMT,"Belmont, Unst","Belmont, Unst",1-3-----,-0.9666666666666667,60.68333333333333
GBBEN,Belton,Belton,--3--6--,-0.8166666666666667,53.53333333333333
GBBBP,Bembridge,Bembridge,1-34----,-1.0833333333333333,50.68333333333333
GBZAB,Berkley,Berkley,-----6--,-2.2666666666666666,51.233333333333334
GBRNR,Bernera (Lewis),Bernera (Lewis),1-------,-6.983333333333333,58.18333333333333
GBRNN,Bernera (N Uist),Bernera (N Uist),1-------,-7.15,57.6
GBBEH,Berry Head,Berry Head,1-3-----,-3.4833333333333334,50.4
GBBWK,Berwick-upon-Tweed,Berwick-upon-Tweed,1-------,-2.0,55.78333333333333
GBZSS,Bessbrook,Bessbrook,-----6--,-6.65,54.31666666666667
GBBNI,Bethania,Bethania,--3--6--,-4.083333333333333,52.233333333333334
GBXHA,Bethesda,Bethesda,-----6--,-4.766666666666667,51.81666666666667
GBETY,Betley,Betley,--3--6--,-2.35,53.03333333333333
GBBXB,Bexhill,Bexhill,123-----,0.4666666666666667,50.85
GBBXL,Bexleyheath,Bexleyheath,-----6--,0.0,51.45
GBBXW,Bexwell,Bexwell,-----6--,0.6833333333333333,53.0
GBBQQ,Bickington,Bickington,1-------,-3.6833333333333336,50.53333333333333
GBBID,Bideford,Bideford,1-------,-4.216666666666667,51.016666666666666
GBUGH,Billingborough,Billingborough,1-------,-20.0,52.88333333333333
GBBHW,Billingham,Billingham,1-------,-1.3,54.6
GBNTB,Bilsington,Bilsington,-----6--,9.266666666666667,51.1
GBBOZ,Bilton,Bilton,--3--6--,-1.2666666666666666,53.95
